title,country,mbfc_page,bias_raw,Factual,Ideology,url
Towleroad,,left,left2,,L,http://www.towleroad.com/
This Magazine,Canada,left,left7,,L,https://this.org/
Truth Against the Machine,,left,left3,,L,https://truthagainstthemachine.com
Truthdig,USA,left,left7,High,L,https://www.truthdig.com/
Truth Theory,UK,left,left11,High,L,https://truththeory.com
Truth Out,USA,left,left1,Mixed,L,https://truthout.org/
Tribune Magazine UK,UK,left,left8,,L,http://www.tribunemagazine.org/
Uproxx,,left,left11,,L,https://uproxx.com/
Upworthy,USA,left,left8,,L,https://www.upworthy.com/
Verified Politics,USA,left,left4,,L,http://verifiedpolitics.com
Vermont Independent,,left,left7,,L,http://www.vermontindependent.org/
Vanity Fair,USA,left,left7,MostlyFactual,L,https://www.vanityfair.com
Verrit,,left,left8,,L,https://verrit.com
Viral Title,Panama,left,left3,,L,http://viraltitle.com
Vote,,left,left9,,L,http://vote.us.org/
Vox,USA,left,left8,MostlyFactual,L,https://www.vox.com/
Washington Daily Wire,USA,left,left2,,L,http://www.washingtondailywire.com
Washington Babylon,USA,left,left7,High,L,https://washingtonbabylon.com/
Wall Street on Parade,,left,leftcenter03,,LC,http://wallstreetonparade.com/
Washington Monthly,USA,left,leftcenter02,,LC,https://washingtonmonthly.com
Washington Sources,USA,left,left3,,L,http://washingtonsources.org
Washington Press,USA,left,left1,,L,https://washingtonpress.com/
Washingtonian,USA,left,left7,,L,https://www.washingtonian.com
We Hunted the Mammoth,USA,left,left6,High,L,http://www.wehuntedthemammoth.com/
What Matters News,,left,left4,,L,http://whatmattersnews.com/
Who.What.Why,,left,left9,,L,https://whowhatwhy.org/
Wonkette,USA,left,left2,,L,https://www.wonkette.com
Wear Your Voice,,left,left8,,L,https://wearyourvoicemag.com
White House Watch,USA,left,left1,,L,https://whitehousewatch.com
Workers World,,left,left3,,L,http://www.workers.org/
Yes Magazine,USA,left,left8,,L,https://www.yesmagazine.org
World Socialist Web Site,USA,left,left3,MostlyFactual,L,https://www.wsws.org
Your Black World,USA,left,left8,,L,http://yourblackworld.net
The Young Turks,USA,left,left3,MostlyFactual,L,https://tytnetwork.com/
Z Magazine,USA,left,left3,,L,https://zcomm.org/zmag/
+972 Magazine,Israel,leftcenter,leftcenter01,High,LC,https://972mag.com/
ABC News,USA,leftcenter,leftcenter06,High,LC,https://abcnews.go.com
Above the Law,USA,leftcenter,leftcenter09,High,LC,https://abovethelaw.com/
ABC News Australia,Australia,leftcenter,leftcenter09,High,LC,https://www.abc.net.au
ABC11 Eyewitness News,USA,leftcenter,leftcenter07,High,LC,https://abc11.com/
AceShowbiz (ASB),Unknown,leftcenter,leftcenter05,Mixed,LC,https://www.aceshowbiz.com/
American Civil Liberties Union (ACLU),USA,leftcenter,leftcenter08,Mixed,LC,https://www.aclu.org/
Aeon,,leftcenter,leftcenter08,High,LC,https://aeon.co/
Affinity Magazine,USA,leftcenter,leftcenter03,Mixed,LC,http://affinitymagazine.us/
African Arguments,,leftcenter,leftcenter06,High,LC,https://africanarguments.org/
Ahval News,Cyprus,leftcenter,leftcenter02,Mixed,LC,https://ahvalnews.com/
Al Jazeera,Qatar,leftcenter,leftcenter07,Mixed,LC,https://www.aljazeera.com/
Akron Beacon Journal,USA,leftcenter,leftcenter09,High,LC,https://www.beaconjournal.com/
Al Monitor,USA,leftcenter,leftcenter07,High,LC,https://www.al-monitor.com/
Al Masdar News (AMN),,leftcenter,leftcenter05,Mixed,LC,https://www.almasdarnews.com
Albany Times Union,USA,leftcenter,leftcenter10,High,LC,https://www.timesunion.com/
Al Sura,USA,leftcenter,leftcenter07,Mixed,LC,https://al-sura.com
Alan Guttmacher Institute,USA,leftcenter,leftcenter06,High,LC,https://www.guttmacher.org/
Alberta Views,Canada,leftcenter,leftcenter04,High,LC,https://albertaviews.ca
AllGov,USA,leftcenter,leftcenter04,High,LC,http://www.allgov.com
Allied Progress,,leftcenter,leftcenter02,High,LC,https://alliedprogress.org
AM New York,,leftcenter,leftcenter05,High,LC,https://www.amny.com/
American Immigration Council,USA,leftcenter,leftcenter04,High,LC,https://www.americanimmigrationcouncil.org
American Public Media,USA,leftcenter,leftcenter10,High,LC,https://www.americanpublicmedia.org
America Magazine,USA,leftcenter,leftcenter10,High,LC,https://www.americamagazine.org/
Amnesty International,UK,leftcenter,leftcenter05,High,LC,https://www.amnesty.org/en/
Anchorage Daily News,USA,leftcenter,leftcenter08,High,LC,https://www.adn.com/
Anniston Star,USA,leftcenter,leftcenter02,High,LC,https://www.annistonstar.com
